
کد نماد,گروه,گروه های صنعت,تابلو,نماد,نام لاتین,نماد,نام
IRO1LALZ0001,N2,لاستيك و پلاستيك,فهرست اوليه,LALZ1,Alborz Tire,پكيان,لاستيك‌البرز
IRR1LALZ0101,N2,لاستيك و پلاستيك,فهرست اوليه,LALX1,Alborz Tire-R,پكيانح,ح . لاستيك‌البرز
IRO1PLST0001,N2,لاستيك و پلاستيك,فهرست اوليه,PLST1,Plastiran,پلاست,پلاستيران‌
IRR1PLST0101,N2,لاستيك و پلاستيك,فهرست اوليه,PLSX1,Plastiran-R,پلاستح,ح . پلاستيران‌
IRO1PLKK0001,N2,لاستيك و پلاستيك,فهرست اوليه,PLKK1,Plascokar Saipa,پلاسك,پلاسكوكار
IRR1PLKK0101,N2,لاستيك و پلاستيك,فهرست اوليه,PLKX1,Plascokar Saipa-R,پلاسكح,ح . پلاسكوكار
IRO1GAZL0001,N2,لاستيك و پلاستيك,فهرست اوليه,GAZL1,Gazlouleh,پلوله,گازلوله‌
IRR1GAZL0101,N2,لاستيك و پلاستيك,فهرست اوليه,GAZX1,Gazlouleh-R,پلولهح,ح . گازلوله‌
IRO1LYZD0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,LYZD1,Yazd Tire,پيزد,مجتمع‌صنايع‌لاستيك‌يزد
IRO1PTAP0001,N2,محصولات شيميايي,فهرست اوليه,PTAP1,Tamin Petro.,تاپيكو,س. نفت و گاز و پتروشيمي تأمين
IRR1PTAP0101,N2,محصولات شيميايي,فهرست اوليه,PTAX1,Tamin Petro.-R,تاپيكوح,ح . س.نفت وگازوپتروشيمي تأمين
IRO1SADR0001,N2,استخراج کانه هاي فلزي,فهرست اوليه,SADR1,Sadr Tamin Inv.,تاصيكو,سرمايه گذاري صدرتامين
IRO1TRIR0001,N1,ماشين آلات و تجهيزات,تابلو اصلي,TRIR1,Iran Tractor,تايرا,تراكتورسازي‌ايران‌
IRR1TRIR0101,N1,ماشين آلات و تجهيزات,تابلو اصلي,TRIX1,Iran Tractor -R,تايراح,ح . تراكتورسازي‌ايران‌
IRO1HPKO0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,HPKO1,Hepco,تپكو,توليدتجهيزات‌سنگين‌هپكو
IRR1HPKO0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,HPKX1,Hepco-R,تپكوح,ح . توليدتجهيزات‌سنگين‌هپكو
IRO1PIRN0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,PIRN1,Pumpiran,تپمپي,پمپ‌ سازي‌ ايران‌
IRR1PIRN0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,PIRX1,Pumpiran-R,تپمپيح,ح . پمپ‌ سازي‌ ايران‌
IRO1MOZI0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,MOZI1,Iran Tractor M.,تراك,ماشين‌آلات صنعتي تراكتورسازي‌
IRR1MOZI0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,MOZX1,Iran Tractor M.-R,تراكح,ح.ماشين‌آلات صنعتي تراكتورسازي
IRO1FROZ0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,FROZ1,Firouza,تفيرو,فيروزا
IRR1FROZ0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,FROX1,Firouza-R,تفيروح,ح . فيروزا
IRO1TKLA0001,N1,فعاليتهاي كمكي به نهادهاي مالي واسط,تابلو فرعي,TKLA1,Good Exch.Prd.,تكالا,توليدكنندگان بورس كالاي ايران
IRO1GSKE0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,GSKE1,A. I. S. D.,تكشا,گسترش‌صنايع‌وخدمات‌كشاورزي‌
IRR1GSKE0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,GSKX1,A. I. S. D.-R,تكشاح,ح . صنايع‌وخدمات‌كشاورزي‌
IRO1COMB0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,COMB1,Iran Combine,تكمبا,كمباين‌ سازي‌ ايران‌
IRR1COMB0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,COMX1,Iran Combine-R,تكمباح,ح . كمباين‌ سازي‌ ايران‌
IRO1TKNO0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,TKNO1,Technotar,تكنو,تكنوتار
IRR1TKNO0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,TKNX1,Technotar-R,تكنوح,ح . تكنوتار
IRO1MNMH0001,N2,ماشين آلات و تجهيزات,فهرست اوليه,MNMH1,Niromohareke M.,تمحركه,ماشين‌سازي‌نيرومحركه‌
IRR1MNMH0101,N2,ماشين آلات و تجهيزات,فهرست اوليه,MNMX1,Niromohareke M.-R,تمحركهح,ح . ماشين‌سازي‌نيرومحركه‌
IRO1TNOV0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,TNOV1,Novin Investment,تنوين,تامين سرمايه نوين
IRO1DTIP0001,N1,مواد و محصولات دارويي,تابلو فرعي,DTIP1,Tamin Daroo,تيپيكو,سرمايه گذاري دارويي تامين
IRO1ABAD0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,ABAD1,Abadgaran,ثاباد,توريستي ورفاهي آبادگران ايران
IRR1ABAD0101,N1,انبوه سازي، املاك و مستغلات,تابلو فرعي,ABAX1,Abadgaran-R,ثابادح,ح . ‌توريستي‌ورفاهي‌آبادگران‌
IRO1BSTE0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,BSTE1,Int. Const.,ثاخت,بين‌المللي‌توسعه‌ساختمان
IRR1BSTE0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,BSTX1,Int. Const.-R,ثاختح,ح . بين‌المللي‌توسعه‌ساختمان
IRO1SAJN0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SAJN1,Sakht Ajand,ثاژن,سخت‌ آژند
IRR1SAJN0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SAJX1,Sakht Ajand-R,ثاژنح,ح . سخت‌ آژند
IRO1SESF0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SESF1,Isfahan Const.,ثاصفا,ساختمان‌ اصفهان‌
IRR1SESF0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SESX1,Isfahan Const.-R,ثاصفاح,ح . ‌ ساختمان‌ اصفهان‌
IRO1SGOS0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,SGOS1,Saman Gostar,ثامان,سامان‌ گستراصفهان‌
IRR1SGOS0101,N1,انبوه سازي، املاك و مستغلات,تابلو فرعي,SGOX1,Saman Gostar-R,ثامانح,ح . سامان‌ گستراصفهان‌
IRO1SAHD0001,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,SAHD1,Shahed Inv.,ثشاهد,سرمايه‌ گذاري‌ شاهد
IRR1SAHD0101,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,SAHX1,Shahed Inv.-R,ثشاهدح,ح . سرمايه‌ گذاري‌ شاهد
IRO1PMSZ0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,PMSZ1,Maskan Invest.,ثشرق,سرمايه گذاري مسكن شمال شرق
IRR1PMSZ0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,PMSX1,Maskan Invest.-R,ثشرقح,ح. سرمايه گذاري مسكن شمال شرق
IRO1OFRS0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,OFRS1,Fars Dev.,ثفارس,عمران‌وتوسعه‌فارس‌
IRR1OFRS0101,N1,انبوه سازي، املاك و مستغلات,تابلو فرعي,OFRX1,Fars Dev.-R,ثفارسح,ح . عمران‌وتوسعه‌فارس‌
IRO1MSKN0001,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,MSKN1,Housing Inv.,ثمسكن,سرمايه‌گذاري‌ مسكن‌
IRR1MSKN0101,N1,انبوه سازي، املاك و مستغلات,تابلو اصلي,MSKX1,Housing Inv.-R,ثمسكنح,ح . سرمايه‌گذاري‌ مسكن‌
IRO1BMLI0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,BMLI1,Melli Industry,ثملي,بين المللي ساختمان و صنعت ملي
IRO1NSTH0001,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,NSTH1,Tehran Const.,ثنوسا,نوسازي‌وساختمان‌تهران‌
IRR1NSTH0101,N2,انبوه سازي، املاك و مستغلات,فهرست اوليه,NSTX1,Tehran Const.-R,ثنوساح,ح . نوسازي‌وساختمان‌تهران‌
IRO1PJMZ0001,N2,محصولات شيميايي,فهرست اوليه,PJMZ1,Jam Petr.,جم,پتروشيمي جم
IRO1JPPC0001,N2,محصولات شيميايي,فهرست اوليه,JPPC1,Jam Pilen,جم پيلن,پلي پروپيلن جم - جم پيلن
IRR1PJMZ0101,N2,محصولات شيميايي,فهرست اوليه,PJMX1,Jam Petr - R,جمح,ح . پتروشيمي جم
IRO1OFST0001,N2,انتشار، چاپ و تکثير,فهرست اوليه,OFST1,Offset,چافست,افست‌
IRR1OFST0101,N2,انتشار، چاپ و تکثير,فهرست اوليه,OFSX1,Offset-R,چافستح,ح . افست‌
IRO1BPRS0001,N2,محصولات كاغذي,فهرست اوليه,BPRS1,Pars Packing,چبسپا,بسته‌ بندي‌ پارس‌
IRR1BPRS0101,N2,محصولات كاغذي,فهرست اوليه,BPRX1,Pars Packing-R,چبسپاح,ح . بسته‌ بندي‌ پارس‌
IRO1CHDN0001,N2,ساخت محصولات فلزي,فهرست اوليه,CHDN1,producing CHDN,چدن,توليدي چدن سازان
IRO1FIBR0001,N2,محصولات چوبي,فهرست اوليه,FIBR1,Iran Board,چفيبر,فيبر ايران‌
IRR1FIBR0101,N2,محصولات چوبي,فهرست اوليه,FIBX1,Iran Board-R,چفيبرح,ح . فيبر ايران‌
IRO1KMSH0001,N2,محصولات كاغذي,فهرست اوليه,KMSH1,Mashad Carton,چكارم,كارتن‌ مشهد
IRR1KMSH0101,N2,محصولات كاغذي,فهرست اوليه,KMSX1,Mashad Carton-R,چكارمح,ح . كارتن‌ مشهد
IRO1KRTI0001,N2,محصولات كاغذي,فهرست اوليه,KRTI1,Iran Carton,چكارن,كارتن‌ ايران‌
