
کد نماد,گروه,گروه های صنعت,تابلو,نماد,نام لاتین,نماد,نام
IRR1PABD0101,N1,محصولات شيميايي,تابلو فرعي,PABX1,Abadan Petr.-R,شپتروح,ح . پتروشيمي‌ آبادان‌
IRO1PRDZ0001,N1,محصولات شيميايي,تابلو فرعي,PRDZ1,Pardis Petr.,شپديس,پتروشيمي پرديس
IRR1PRDZ0101,N1,محصولات شيميايي,تابلو فرعي,PRDX1,Pardis Petr. -R,شپديسح,ح. پتروشيمي پرديس
IRO1PLAK0001,N2,محصولات شيميايي,فهرست اوليه,PLAK1,Iran Polyacryl,شپلي,پلي‌اكريل‌
IRR1PLAK0101,N2,محصولات شيميايي,فهرست اوليه,PLAX1,Iran Polyacryl-R,شپليح,ح . پلي‌اكريل‌
IRO1PPAM0001,N2,محصولات شيميايي,فهرست اوليه,PPAM1,Pars Pamchal,شپمچا,پارس‌ پامچال‌
IRR1PPAM0101,N2,محصولات شيميايي,فهرست اوليه,PPAX1,Pars Pamchal-R,شپمچاح,ح . پارس‌ پامچال‌
IRO1PNES0001,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,PNES1,Isf. Oil Ref. Co.,شپنا,پالايش نفت اصفهان
IRR1PNES0101,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,PNEX1,Isf. Oil. Ref.-R,شپناح,ح . پالايش نفت اصفهان
IRO1PTEH0001,N2,فراورده هاي نفتي، كك و سوخت هسته اي,فهرست اوليه,PTEH1,Palayesh Tehran,شتران,پالايش نفت تهران
IRO1THSH0001,N2,مواد و محصولات دارويي,فهرست اوليه,THSH1,Tehran Chemical,شتهران,تهران‌ شيمي‌
IRR1THSH0101,N2,مواد و محصولات دارويي,فهرست اوليه,THSX1,Tehran Chemical-R,شتهرانح,ح . تهران‌ شيمي‌
IRO1TOPI0001,N2,محصولات شيميايي,فهرست اوليه,TOPI1,Tolypers,شتولي,تولي‌پرس‌
IRR1TOPI0101,N1,محصولات شيميايي,تابلو فرعي,TOPX1,Tolypers-R,شتوليح,ح . تولي‌پرس‌
IRO1NJEY0001,N2,فراورده هاي نفتي، كك و سوخت هسته اي,فهرست اوليه,NJEY1,Naft Jey Co.,شجي,شركت نفت جي
IRO1PKHA0001,N1,محصولات شيميايي,تابلو اصلي,PKHA1,Khark Petr.,شخارك,پتروشيمي‌ خارك‌
IRR1PKHA0101,N1,محصولات شيميايي,تابلو اصلي,PKHX1,Khark Petr.-R,شخاركح,ح . پتروشيمي‌ خارك‌
IRO1DODE0001,N2,محصولات شيميايي,فهرست اوليه,DODE1,Doode Sanati,شدوص,دوده‌ صنعتي‌ پارس‌
IRR1DODE0101,N2,محصولات شيميايي,فهرست اوليه,DODX1,Doode Sanati-R,شدوصح,ح . دوده‌ صنعتي‌ پارس‌
IRO1SHRG0001,N2,محصولات شيميايي,فهرست اوليه,SHRG1,Rangin,شرنگي,صنعتي‌ رنگين‌
IRR1SHRG0101,N2,محصولات شيميايي,فهرست اوليه,SHRX1,Rangin-R,شرنگيح,ح . صنعتي‌ رنگين‌
IRO1ZNGN0001,N2,فراورده هاي نفتي، كك و سوخت هسته اي,فهرست اوليه,ZNGN1,Zangan Equip.,شزنگ,تجهيزنيروي‌زنگان‌
IRR1ZNGN0101,N2,فراورده هاي نفتي، كك و سوخت هسته اي,فهرست اوليه,ZNGX1,Zangan Equip.-R,شزنگح,ح . تجهيزنيروي‌زنگان‌
IRO1SEPP0001,N2,فراورده هاي نفتي، كك و سوخت هسته اي,فهرست اوليه,SEPP1,Spahan Naft,شسپا,نفت سپاهان
IRO1TSAL0001,N2,محصولات شيميايي,فهرست اوليه,TSAL1,Herbicides Prod,شسم,توليد سموم‌ علف‌ كش
IRR1TSAL0101,N2,محصولات شيميايي,فهرست اوليه,TSAX1,Herbicides Prod-R,شسمح,ح . توليد سموم‌ علف‌ كش
IRO1SHSI0001,N2,محصولات شيميايي,فهرست اوليه,SHSI1,Sina Chem. Ind.,شسينا,صنايع‌شيميايي‌سينا
IRR1SHSI0101,N2,محصولات شيميايي,فهرست اوليه,SHSX1,Sina Chem. Ind.-R,شسيناح,ح . صنايع‌شيميايي‌سينا
IRO1PESF0001,N2,محصولات شيميايي,فهرست اوليه,PESF1,Isfahan Pertr.,شصفها,پتروشيمي‌ اصفهان‌
IRR1PESF0101,N2,محصولات شيميايي,فهرست اوليه,PESX1,Isfahan Pertr.-R,شصفهاح,ح . پتروشيمي‌ اصفهان‌
IRO1SHFA0001,N2,مواد و محصولات دارويي,فهرست اوليه,SHFA1,ShafaDarou Inv.,شفا,سرمايه گذاري شفادارو
IRO1PFRB0001,N2,محصولات شيميايي,فهرست اوليه,PFRB1,Farabi Petr.,شفارا,پتروشيمي‌فارابي‌
IRR1PFRB0101,N2,محصولات شيميايي,فهرست اوليه,PFRX1,Farabi Petr.-R,شفاراح,ح . پتروشيمي‌فارابي‌
IRO1SHFS0001,N2,محصولات شيميايي,فهرست اوليه,SHFS1,Fars Chem. Ind.,شفارس,صنايع‌ شيميايي‌ فارس‌
IRR1SHFS0101,N2,محصولات شيميايي,فهرست اوليه,SHFX1,Fars Chem. Ind.-R,شفارسح,ح . صنايع‌ شيميايي‌ فارس‌
IRO1PFAN0001,N1,محصولات شيميايي,تابلو اصلي,PFAN1,Fanavaran Petr.,شفن,پتروشيمي فناوران
IRR1PFAN0101,N1,محصولات شيميايي,تابلو اصلي,PFAX1,Fanavaran Petr.-R,شفنح,ح . پتروشيمي فناوران
IRO1CRBN0001,N2,محصولات شيميايي,فهرست اوليه,CRBN1,Iran Carbon,شكربن,كربن‌ ايران‌
IRR1CRBN0101,N1,محصولات شيميايي,تابلو فرعي,CRBX1,Iran Carbon-R,شكربنح,ح . كربن‌ ايران‌
IRO1KAFF0001,N2,محصولات شيميايي,فهرست اوليه,KAFF1,Kaf,شكف,كف‌
IRR1KAFF0101,N2,محصولات شيميايي,فهرست اوليه,KAFX1,Kaf-R,شكفح,ح . كف‌
IRO1NKOL0001,N2,محصولات شيميايي,فهرست اوليه,NKOL1,NiroCholor,شكلر,نيروكلر
IRR1NKOL0101,N2,محصولات شيميايي,فهرست اوليه,NKOX1,NiroCholor-R,شكلرح,ح . نيروكلر
IRO1GTSH0001,N2,محصولات شيميايي,فهرست اوليه,GTSH1,Goltash,شگل,گلتاش‌
IRR1GTSH0101,N2,محصولات شيميايي,فهرست اوليه,GTSX1,Goltash-R,شگلح,ح . گلتاش‌
IRO1LEAB0001,N2,محصولات شيميايي,فهرست اوليه,LEAB1,Loabiran,شلعاب,لعابيران‌
IRR1LEAB0101,N2,محصولات شيميايي,فهرست اوليه,LEAX1,Loabiran-R,شلعابح,ح . لعابيران‌
IRO1SLVN0001,N2,محصولات شيميايي,فهرست اوليه,SLVN1,Pars Alvan Dye,شلوان,رنگ پارس الوان
IRO1MAVA0001,N2,محصولات شيميايي,فهرست اوليه,MAVA1,Fiber Prod.,شمواد,توليدمواداوليه الياف‌مصنوعي‌
IRR1MAVA0101,N2,محصولات شيميايي,فهرست اوليه,MAVX1,Fiber Prod.-R,شموادح,ح . مواداوليه‌الياف‌مصنوعي‌
IRO1NPRS0001,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,NPRS1,Pars Oil,شنفت,نفت‌ پارس‌
IRR1NPRS0101,N1,فراورده هاي نفتي، كك و سوخت هسته اي,تابلو اصلي,NPRX1,Pars Oil-R,شنفتح,ح . نفت‌ پارس‌
IRO1VASH0001,N2,محصولات شيميايي,فهرست اوليه,VASH1,Henkel Pakvash,شوش,هنكل‌ پاك‌ وش‌
IRR1VASH0101,N2,محصولات شيميايي,فهرست اوليه,VASX1,Henkel Pakvash-R,شوشح,ح . هنكل‌ پاك‌ وش‌
IRO1SHOY0001,N2,محصولات شيميايي,فهرست اوليه,SHOY1,Behshahr Ind.,شوينده,مديريت صنعت شوينده ت.ص.بهشهر
IRO1PSHZ0001,N1,محصولات شيميايي,تابلو اصلي,PSHZ1,Shiraz Petr.,شيراز,پتروشيمي‌شيراز
IRR1PSHZ0101,N1,محصولات شيميايي,تابلو اصلي,PSHX1,Shiraz Petr.-R,شيرازح,ح . پتروشيمي‌شيراز
IRO1SSIN0001,N2,محصولات شيميايي,فهرست اوليه,SSIN1,Iran Chem. Ind.,شيران,س. صنايع‌شيميايي‌ايران
IRR1SSIN0101,N2,محصولات شيميايي,فهرست اوليه,SSIX1,Iran Chem. Ind.-R,شيرانح,ح . س. صنايع‌شيميايي‌ايران‌
IRO1PIAZ0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,PIAZ1,Piazar Agro.,غاذر,كشت‌وصنعت‌پياذر
IRR1PIAZ0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,PIAX1,Piazar Agro.-R,غاذرح,ح . كشت‌وصنعت‌پياذر
IRO1KLBR0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,KLBR1,Kalber Dairy,غالبر,لبنيات‌كالبر
IRR1KLBR0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,KLBX1,Kalber Dairy-R,غالبرح,ح . لبنيات‌كالبر
IRO1SBEH0001,N1,محصولات غذايي و آشاميدني به جز قند و شكر,تابلو اصلي,SBEH1,Behshahr Ind.,غبشهر,صنعتي‌ بهشهر
IRR1SBEH0101,N1,محصولات غذايي و آشاميدني به جز قند و شكر,تابلو اصلي,SBEX1,Behshahr Ind.-R,غبشهرح,ح . صنعتي‌ بهشهر
IRO1BEPP0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,BEPP1,Behpaak,غبهپاك,بهپاك‌
IRR1BEPP0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,BEPX1,Behpaak-R,غبهپاكح,ح . بهپاك‌
IRO1BENN0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,BENN1,Behnoush Iran,غبهنوش,بهنوش‌ ايران‌
IRR1BENN0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,BENX1,Behnoush Iran-R,غبهنوشح,ح . بهنوش‌ ايران‌
IRO1LPAK0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,LPAK1,Pak Dairy,غپاك,لبنيات‌ پاك‌
IRR1LPAK0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,LPAX1,Pak Dairy-R,غپاكح,ح . لبنيات‌ پاك‌
IRO1MINO0001,N1,محصولات غذايي و آشاميدني به جز قند و شكر,تابلو فرعي,MINO1,Pars Minoo,غپينو,پارس‌ مينو
IRR1MINO0101,N1,محصولات غذايي و آشاميدني به جز قند و شكر,تابلو فرعي,MINX1,Pars Minoo-R,غپينوح,ح . پارس‌ مينو
IRO1CHCH0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,CHCH1,Chin Chin,غچين,كشت‌ و صنعت‌ چين‌ چين
IRR1CHCH0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,CHCX1,Chin Chin-R,غچينح,ح . كشت‌ و صنعت‌ چين‌ چين
IRO1KDPS0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,KDPS1,P. Animal Feed,غدام,خوراك‌ دام‌ پارس‌
IRR1KDPS0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,KDPX1,P. Animal Feed-R,غدامح,ح . خوراك‌ دام‌ پارس‌
IRO1DMOR0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,DMOR1,Dasht Morghab,غدشت,دشت‌ مرغاب‌
IRR1DMOR0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,DMOX1,Dasht Morghab-R,غدشتح,ح . دشت‌ مرغاب‌
IRO1SASN0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SASN1,Sasan,غساسا,ساسان‌
IRR1SASN0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SASX1,Sasan-R,غساساح,ح . ساسان‌
IRO1SLMN0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SLMN1,Salemin Factory,غسالم,سالمين‌
IRR1SLMN0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SLMX1,Salemin Factory-R,غسالمح,ح . ‌سالمين‌
IRO1SHPZ0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SHPZ1,W. Azar. Pegah,غشاذر,پگاه‌آذربايجان‌غربي‌
IRR1SHPZ0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SHPX1,W. Azar. Pegah-R,غشاذرح,ح . ‌پگاه‌آذربايجان‌غربي‌
IRO1SPKH0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SPKH1,Kh. Pegah Dairy,غشان,شيرپاستوريزه‌پگاه‌خراسان‌
IRR1SPKH0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SPKX1,Kh. Pegah Dairy-R,غشانح,ح . شيرپاستوريزه‌پگاه‌خراسان‌
IRO1SPPE0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SPPE1,I. Pegah Dairy,غشصفا,شيرپاستوريزه‌پگاه‌اصفهان‌
IRR1SPPE0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SPPX1,I. Pegah Dairy-R,غشصفاح,ح . شيرپاستوريزه‌پگاه‌اصفهان‌
IRO1SHAD0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SHAD1,Shahdiran Inc.,غشهد,شهد ايران‌
IRR1SHAD0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,SHAX1,Shahdiran Inc.-R,غشهدح,ح . شهد ايران‌
IRO1GORJ0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,GORJ1,Gorji Biscuit,غگرجي,بيسكويت‌ گرجي‌
IRR1GORJ0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,GORX1,Gorji Biscuit-R,غگرجيح,ح . بيسكويت‌ گرجي‌
IRO1GCOZ0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,GCOZ1,Glucosan,غگل,گلوكوزان‌
IRR1GCOZ0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,GCOX1,Glucosan-R,غگلح,ح . گلوكوزان‌
IRO1MRGN0001,N1,محصولات غذايي و آشاميدني به جز قند و شكر,تابلو فرعي,MRGN1,Margarin,غمارگ,مارگارين‌
IRR1MRGN0101,N1,محصولات غذايي و آشاميدني به جز قند و شكر,تابلو فرعي,MRGX1,Margarin-R,غمارگح,ح . مارگارين‌
IRO1MRAM0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,MRAM1,Mahram Mfg.,غمهرا,توليدي‌مهرام‌
IRR1MRAM0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,MRAX1,Mahram Mfg.-R,غمهراح,ح . توليدي‌مهرام‌
IRO1RNAB0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,RNAB1,Naab Ind.,غناب,روغن‌ نباتي‌ ناب‌
IRR1RNAB0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,RNAX1,Naab Ind.-R,غنابح,ح . روغن‌ نباتي‌ ناب‌
IRO1NOSH0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,NOSH1,Noush Maz.,غنوش,نوش‌ مازندران‌
IRR1NOSH0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,NOSX1,Noush Maz.-R,غنوشح,ح . نوش‌مازندران‌
IRO1KIVN0001,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,KIVN1,Keivan,غيوان,كيوان‌
IRR1KIVN0101,N2,محصولات غذايي و آشاميدني به جز قند و شكر,فهرست اوليه,KIVX1,Keivan-R,غيوانح,ح . كيوان‌
IRO1AZAB0001,N2,ساخت محصولات فلزي,فهرست اوليه,AZAB1,Azarab Ind.,فاذر,صنايع‌ آذرآب‌
IRR1AZAB0101,N2,ساخت محصولات فلزي,فهرست اوليه,AZAX1,Azarab Ind.-R,فاذرح,ح . صنايع‌ آذرآب‌
IRO1MARK0001,N2,ساخت محصولات فلزي,فهرست اوليه,MARK1,Arak M. Mfg.,فاراك,ماشين‌ سازي‌ اراك‌
IRR1MARK0101,N2,ساخت محصولات فلزي,فهرست اوليه,MARX1,Arak M. Mfg.-R,فاراكح,ح . ماشين‌ سازي‌ اراك‌
IRO1PKLJ0001,N2,محصولات شيميايي,فهرست اوليه,PKLJ1,Khalij Fars,فارس,صنايع پتروشيمي خليج فارس
IRO1KSIM0001,N1,فلزات اساسي,تابلو اصلي,KSIM1,Calcimine,فاسمين,كالسيمين‌
IRR1KSIM0101,N1,فلزات اساسي,تابلو اصلي,KSIX1,Calcimine-R,فاسمينح,ح . كالسيمين‌
IRO1ALTK0001,N2,فلزات اساسي,فهرست اوليه,ALTK1,Alumtek,فالوم,آلومتك‌
IRR1ALTK0101,N2,فلزات اساسي,فهرست اوليه,ALTX1,Alumtek-R,فالومح,ح . آلومتك‌
IRO1SAMA0001,N1,ساخت محصولات فلزي,تابلو فرعي,SAMA1,Ama,فاما,صنعتي‌ آما
IRR1SAMA0101,N1,ساخت محصولات فلزي,تابلو فرعي,SAMX1,Ama-R,فاماح,ح . صنعتي‌ آما
IRO1NLAH0001,N2,فلزات اساسي,فهرست اوليه,NLAH1,Ahwaz R. & P.,فاهواز,نوردولوله‌ اهواز
IRR1NLAH0101,N2,فلزات اساسي,فهرست اوليه,NLAX1,Ahwaz R. & P.-R,فاهوازح,ح . نوردولوله‌ اهواز
IRO1ALIR0001,N2,فلزات اساسي,فهرست اوليه,ALIR1,Iran Aluminium,فايرا,آلومينيوم‌ايران‌
IRR1ALIR0101,N2,فلزات اساسي,فهرست اوليه,ALIX1,Iran Aluminium-R,فايراح,ح . آلومينيوم‌ايران‌
IRO1BAHN0001,N1,فلزات اساسي,تابلو اصلي,BAHN1,Bahonar Copper,فباهنر,مس‌ شهيدباهنر
IRR1BAHN0101,N1,فلزات اساسي,تابلو اصلي,BAHX1,Bahonar Copper-R,فباهنرح,ح . مس‌ شهيدباهنر
IRO1BMAS0001,N2,ساخت محصولات فلزي,فهرست اوليه,BMAS1,Mashad Packing,فبستم,صنايع‌بسته‌بندي‌ مشهد
IRR1BMAS0101,N2,ساخت محصولات فلزي,فهرست اوليه,BMAX1,Mashad Packing-R,فبستمح,ح . صنايع‌بسته‌بندي‌ مشهد
IRO1BIRI0001,N2,ساخت محصولات فلزي,فهرست اوليه,BIRI1,Iran Packing,فبيرا,بسته‌ بندي‌ ايران‌
IRR1BIRI0101,N2,ساخت محصولات فلزي,فهرست اوليه,BIRX1,Iran Packing-R,فبيراح,ح . بسته‌ بندي‌ ايران‌
IRO1ALPS0001,N2,فلزات اساسي,فهرست اوليه,ALPS1,Pars Aluminum,فپارس,آلومينيم‌ پارس‌
IRR1ALPS0101,N2,فلزات اساسي,فهرست اوليه,ALPX1,Pars Aluminum-R,فپارسح,ح . آلومينيم‌ پارس‌
IRO1SPTA0001,N2,فلزات اساسي,فهرست اوليه,SPTA1,Sepanta,فپنتا,سپنتا
IRR1SPTA0101,N2,فلزات اساسي,فهرست اوليه,SPTX1,Sepanta-R,فپنتاح,ح . سپنتا
IRO1JAMD0001,N2,ساخت محصولات فلزي,فهرست اوليه,JAMD1,Jaam Darou,فجام,جام‌دارو
IRR1JAMD0101,N2,ساخت محصولات فلزي,فهرست اوليه,JAMX1,Jaam Darou-R,فجامح,ح . جام‌دارو
IRO1FAJR0001,N1,فلزات اساسي,تابلو فرعي,FAJR1,Amirkabir Steel,فجر,فولاد اميركبيركاشان
IRR1FAJR0101,N1,فلزات اساسي,تابلو فرعي,FAJX1,Amirkabir Steel.-R,فجرح,ح .فولاد امير كبير كاشان
IRO1JSHO0001,N2,ساخت محصولات فلزي,فهرست اوليه,JSHO1,Iran Weld & Ox.,فجوش,جوش‌ و اكسيژن‌ ايران‌
IRR1JSHO0101,N2,ساخت محصولات فلزي,فهرست اوليه,JSHX1,Iran Weld & Ox.-R,فجوشح,ح . جوش‌ و اكسيژن‌ ايران‌
IRO1FKAS0001,N1,فلزات اساسي,تابلو فرعي,FKAS1,Khorasan Steel Co.,فخاس,فولاد خراسان
IRR1FKAS0101,N1,فلزات اساسي,تابلو فرعي,FKAX1,Khorasan Steel-R,فخاسح,ح . فولاد خراسان
IRO1FKHZ0001,N1,فلزات اساسي,تابلو اصلي,FKHZ1,Khouz. Steel,فخوز,فولاد خوزستان
IRR1FKHZ0101,N1,فلزات اساسي,تابلو اصلي,FKHX1,Khouz. Steel-R,فخوزح,ح . فولاد خوزستان
IRO1FRVR0001,N1,فلزات اساسي,تابلو فرعي,FRVR1,Iran Mineral P.,فرآور,فرآوري‌موادمعدني‌ايران‌
IRR1FRVR0101,N1,فلزات اساسي,تابلو فرعي,FRVX1,Iran Mineral P.-R,فرآورح,ح . فرآوري‌موادمعدني‌ايران‌
IRO1FRIS0001,N1,فلزات اساسي,تابلو فرعي,FRIS1,Iran Ferr.,فروس,فروسيليس‌ ايران‌
IRR1FRIS0101,N1,فلزات اساسي,تابلو فرعي,FRIX1,Iran Ferr.-R,فروسح,ح . فروسيليس‌ ايران‌
IRO1TFKR0001,N2,فلزات اساسي,فهرست اوليه,TFKR1,Kerman Ferr.,فروم,توليدفروموليبدن‌كرمان‌
IRR1TFKR0101,N2,فلزات اساسي,فهرست اوليه,TFKX1,Kerman Ferr.-R,فرومح,ح . توليدفروموليبدن‌كرمان‌
IRO1LSAH0001,N2,فلزات اساسي,فهرست اوليه,LSAH1,Ahwaz Pipe Mill,فساز,لوله‌سازي‌اهواز
IRO1SEPA0001,N2,فلزات اساسي,فهرست اوليه,SEPA1,Sepahan Group,فسپا,گروه‌صنعتي‌سپاهان‌
IRR1SEPA0101,N2,فلزات اساسي,فهرست اوليه,SEPX1,Sepahan Group-R,فسپاح,ح . گروه‌صنعتي‌سپاهان‌
IRO1LSDD0001,N2,فلزات اساسي,فهرست اوليه,LSDD1,Sadid Pipe,فسديد,لوله و تجهيزات سديد
IRR1LSDD0101,N2,فلزات اساسي,فهرست اوليه,LSDX1,Sadid Group-R,فسديدح,ح . لوله و تجهيزات سديد
IRO1SORB0001,N2,فلزات اساسي,فهرست اوليه,SORB1,N. I. L. Z.,فسرب,ملي‌ سرب‌وروي‌ ايران‌
IRR1SORB0101,N2,فلزات اساسي,فهرست اوليه,SORX1,N. I. L. Z.-R,فسربح,ح . ملي‌ سرب‌وروي‌ ايران‌
IRO1SOLI0001,N2,ساخت محصولات فلزي,فهرست اوليه,SOLI1,Soliran.,فسلير,سوليران‌
IRR1SOLI0101,N2,ساخت محصولات فلزي,فهرست اوليه,SOLX1,Soliran.-R,فسليرح,ح . سوليران‌
IRO1LAMI0001,N2,ساخت محصولات فلزي,فهرست اوليه,LAMI1,Lamiran,فلامي,لاميران‌
IRR1LAMI0101,N2,ساخت محصولات فلزي,فهرست اوليه,LAMX1,Lamiran-R,فلاميح,ح . لاميران‌
IRO1LMIR0001,N1,فلزات اساسي,تابلو فرعي,LMIR1,Iran M. & P. M.,فلوله,لوله‌وماشين‌سازي‌ايران‌
IRR1LMIR0101,N1,فلزات اساسي,تابلو فرعي,LMIX1,Iran M. & P. M.-R,فلولهح,ح . لوله‌وماشين‌سازي‌ايران‌
IRO1PMET0001,N2,فلزات اساسي,فهرست اوليه,PMET1,Parsmetal,فمتال,پارس‌ متال‌
IRR1PMET0101,N2,فلزات اساسي,فهرست اوليه,PMEX1,Parsmetal-R,فمتالح,ح . پارس‌ متال‌
IRO1ALMR0001,N2,فلزات اساسي,فهرست اوليه,ALMR1,Alomrad,فمراد,آلومراد
IRR1ALMR0101,N2,فلزات اساسي,فهرست اوليه,ALMX1,Alomrad-R,فمرادح,ح . آلومراد
IRO1MSMI0001,N1,فلزات اساسي,تابلو اصلي,MSMI1,I. N. C. Ind.,فملي,ملي‌ صنايع‌ مس‌ ايران‌
IRR1MSMI0101,N1,فلزات اساسي,تابلو اصلي,MSMX1,I. N. C. Ind.-R,فمليح,ح . ملي‌ صنايع‌ مس‌ ايران‌
IRO1ENAZ0001,N2,ساخت محصولات فلزي,فهرست اوليه,ENAZ1,Azarab Energy,فنرژي,گسترش‌صنايع‌انرژي‌آذرآب‌
IRR1ENAZ0101,N2,ساخت محصولات فلزي,فهرست اوليه,ENAX1,Azarab Energy-R,فنرژيح,ح . گسترش‌صنايع‌انرژي‌آذرآب‌
IRO1NALM0001,N2,فلزات اساسي,فهرست اوليه,NALM1,Aluminum R.,فنوال,نورد آلومينيوم‌
IRR1NALM0101,N2,فلزات اساسي,فهرست اوليه,NALX1,Aluminum R.-R,فنوالح,ح . نورد آلومينيوم‌
IRO1NGFO0001,N2,فلزات اساسي,فهرست اوليه,NGFO1,R. Mill Prod.,فنورد,نوردوقطعات‌ فولادي‌
IRR1NGFO0101,N2,فلزات اساسي,فهرست اوليه,NGFX1,R. Mill Prod.-R,فنوردح,ح . نوردوقطعات‌ فولادي‌
IRO1FVAN0001,N2,فلزات اساسي,فهرست اوليه,FVAN1,Kaavian Steel,فوكا,فولادكاويان‌
IRR1FVAN0101,N2,فلزات اساسي,فهرست اوليه,FVAX1,Kaavian Steel-R,فوكاح,ح . فولادكاويان‌
IRO1FOLD0001,N1,فلزات اساسي,تابلو اصلي,FOLD1,Mobarakeh Steel,فولاد,فولاد مباركه اصفهان
IRR1FOLD0101,N1,فلزات اساسي,تابلو اصلي,FOLX1,Mobarakeh Steel-R,فولادح,ح . فولاد مباركه اصفهان
IRO1FAIR0001,N1,فلزات اساسي,تابلو فرعي,FAIR1,Iran Fold,فولاژ,فولاد آلياژي ايران
IRR1FAIR0101,N1,فلزات اساسي,تابلو فرعي,FAIX1,Iran Fold-R,فولاژح,ح.فولاد آلياژي ايران
IRO1GPRS0001,N2,قند و شكر,فهرست اوليه,GPRS1,Pars Sugar,قپارس,قندپارس‌
IRR1GPRS0101,N2,قند و شكر,فهرست اوليه,GPRX1,Pars Sugar-R,قپارسح,ح . قندپارس‌
IRO1GPSH0001,N2,قند و شكر,فهرست اوليه,GPSH1,Piranshahr S.,قپيرا,فرآورده‌هاي‌غدايي‌وقندپيرانشهر
IRR1GPSH0101,N2,قند و شكر,فهرست اوليه,GPSX1,Piranshahr S.-R,قپيراح,ح . قندپيرانشهر
IRO1GSBE0001,N2,قند و شكر,فهرست اوليه,GSBE1,Sabet Khorasan,قثابت,قند ثابت‌ خراسان‌
IRR1GSBE0101,N2,قند و شكر,فهرست اوليه,GSBX1,Sabet Khorasan-R,قثابتح,ح . قند ثابت‌ خراسان‌
IRO1GTOR0001,N2,قند و شكر,فهرست اوليه,GTOR1,Torbate Jaam S.,قجام,فرآوردههاي غذايي وقندتربت‌جام‌
IRR1GTOR0101,N2,قند و شكر,فهرست اوليه,GTOX1,Torbate Jaam S.-R,قجامح,ح .غذايي و قنتربت‌جام‌
IRO1GGAZ0001,N2,قند و شكر,فهرست اوليه,GGAZ1,Ghazvin Sugar,قزوين,كارخانجات‌ قند قزوين‌
IRR1GGAZ0101,N2,قند و شكر,فهرست اوليه,GGAX1,Ghazvin Sugar-R,قزوينح,ح . كارخانجات‌ قند قزوين‌
